Line_No,Date_first_seen,Duration,Proto,Flags,Tos,Packets,Bytes,Flows,src_ips,src_ports,dst_ips,dst_ports
4658,2017-10-23 16:19:41.774,0.0, TCP,......,0,0,0,1.0, 157.190.140.80,59000 , 40.101.126.120,443   
4659,2017-10-23 16:19:17.632,0.0, TCP,......,0,0,1230,1.0, 157.190.32.170,64824 ,  65.52.108.154,443   
4660,2017-10-23 16:19:17.632,0.0, TCP,......,0,0,1230,1.0, 157.190.32.170,64824 ,  65.52.108.154,443   
4661,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  92.42.107.139,7144  ,  157.190.51.22,5060  
4662,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 179.234.252.12,55276 ,  157.190.184.5,2323  
4663,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   103.54.25.43,1148  ,157.190.252.170,23  
4667,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 112.82.253.183,64581 , 157.190.235.34,23    
4668,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   172.28.31.17,40938 ,  47.73.170.245,5094  
4669,2017-10-23 16:19:41.704,0.0, TCP,......,0,0,0,1.0, 157.190.152.78,51085 , 69.172.216.111,443   
4670,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   177.1.194.76,56787 , 157.190.244.58,23    
4671,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  183.82.61.117,17608 , 157.190.153.60,23    
4672,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   210.44.14.14,49097 ,157.190.196.136,1433  
4673,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   170.79.1.173,62116 ,  157.190.50.89,23    
4674,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 189.102.186.41,44574 ,   157.190.27.9,23    
4675,2017-10-23 16:18:43.640,0.0, TCP,......,0,0,0,1.0,  172.28.15.118,51122 ,108.177.119.147,80    
4676,2017-10-23 16:17:41.626,0.0, TCP,......,0,0,96,1.0,  172.28.15.118,51122 ,108.177.119.147,80    
4677,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  172.28.27.128,40893 ,  47.73.170.225,5094  
4678,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   5.188.10.108,44528 ,  157.190.62.36,30000 
4679,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   172.28.13.73,49156 ,   40.77.229.48,443   
4680,2017-10-23 16:18:43.650,0.0, TCP,......,0,0,0,1.0,   172.28.28.84,51492 ,  209.85.202.95,443   
4681,2017-10-23 16:15:39.889,0.0, TCP,......,0,0,898,1.0,   172.28.28.84,51492 ,  209.85.202.95,443   
4682,2017-10-23 16:19:41.774,0.0, UDP,......,0,0,0,1.0,  172.28.31.172,1033  ,    193.1.186.2,53    
4683,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 37.220.135.253,48278 , 157.190.238.26,1433  
4684,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  45.77.155.251,48266 , 157.190.173.38,4422  
4685,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,   80.82.77.139,63487 , 157.190.173.80,19    
4686,2017-10-23 16:19:41.784,0.0, UDP,......,0,0,0,1.0, 157.190.147.81,56473 ,108.177.119.104,443   
4687,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 182.176.85.230,32988 , 157.190.233.92,23    
4688,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,139.162.209.186,61234 , 157.190.245.78,786   
4689,2017-10-23 16:19:41.674,0.0, TCP,......,0,0,0,1.0, 157.190.136.72,51795 ,   72.247.83.59,443   
4690,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 185.165.29.198,41653 ,157.190.203.176,80    
4691,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,      5.101.0.9,51418 ,  157.190.232.6,22    
4692,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,    120.70.9.57,28103 , 157.190.192.23,23    
4693,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,   172.28.18.69,54827 ,  17.253.34.253,123   
4694,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  94.203.220.15,57807 , 157.190.45.107,2323  
4695,2017-10-23 16:19:41.734,0.0, UDP,......,0,0,0,1.0,  172.28.29.218,59538 ,    193.1.186.2,53    
4696,2017-10-23 16:19:41.734,0.0, TCP,......,0,0,0,1.0, 157.190.45.158,58031 , 209.85.202.100,443   
4697,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,    172.28.5.89,57289 ,  47.73.170.165,5094  
