,Proto,Flows,Bytes,src_ips,dst_ips
232,UDP,1.0,70,  172.28.24.177,    193.1.186.2
233,UDP,1.0,45,  172.28.14.118,    193.1.186.2
234,TCP,1.0,558,  172.28.31.149,  209.85.202.94
235,TCP,1.0,3645,  172.28.25.158,     31.13.90.2
236,UDP,1.0,40,  172.28.25.158,    193.1.186.2
237,UDP,1.0,39,  172.28.31.149,    193.1.186.2
238,TCP,1.0,1465, 157.190.142.53,  40.101.125.18
239,UDP,1.0,47,  172.28.29.118,    193.1.186.2
240,UDP,1.0,33,  172.28.24.177,    193.1.186.2
241,TCP,1.0,312,  172.28.31.149, 103.235.46.212
242,UDP,1.0,42,  172.28.23.249,    193.1.186.2
243,UDP,1.0,44, 172.28.246.148,    193.1.186.2
244,TCP,1.0,26801,   157.190.0.75,  40.101.12.130
245,UDP,1.0,40,  172.28.29.118,    193.1.186.2
246,TCP,1.0,743,  172.28.23.249,   52.85.199.30
247,UDP,1.0,70,  172.28.24.177,    193.1.186.3
248,UDP,1.0,34,   172.28.17.43,    193.1.186.2
249,UDP,1.0,35,   172.28.9.203,    193.1.186.2
250,UDP,1.0,0,  172.28.240.48,    193.1.186.2
251,UDP,1.0,40,  172.28.240.48,    193.1.186.2
252,TCP,1.0,0,157.190.137.106,  157.190.30.21
253,TCP,1.0,0,157.190.137.106,  157.190.30.21
254,TCP,1.0,0, 157.190.133.64,157.190.170.158
255,TCP,1.0,0, 157.190.133.64,157.190.170.158
256,UDP,1.0,0,   172.28.2.176,    193.1.186.2
257,UDP,1.0,31,   172.28.2.176,    193.1.186.2
258,UDP,1.0,0,   172.28.27.19,    193.1.186.2
259,UDP,1.0,31,   172.28.27.19,    193.1.186.2
260,UDP,1.0,0,  172.28.26.185,    193.1.186.2
261,UDP,1.0,51,  172.28.26.185,    193.1.186.2
262,UDP,1.0,0,  172.28.24.107,    193.1.186.2
263,UDP,1.0,44,  172.28.24.107,    193.1.186.2
264,UDP,1.0,0,   172.28.19.38,    193.1.186.2
265,UDP,1.0,42,   172.28.19.38,    193.1.186.2
266,UDP,1.0,0,    172.28.2.47,    193.1.186.2
267,UDP,1.0,48,    172.28.2.47,    193.1.186.2
268,UDP,1.0,0,    172.28.9.89,    193.1.186.2
269,UDP,1.0,37,    172.28.9.89,    193.1.186.2
270,TCP,1.0,0,   172.28.4.102, 209.85.202.153
271,TCP,1.0,16127,   172.28.4.102, 209.85.202.153
272,TCP,1.0,0,   172.28.6.215,    31.13.90.52
273,TCP,1.0,0,   172.28.4.146, 209.85.202.125
274,UDP,1.0,0, 157.190.33.163,  209.85.202.94
275,UDP,1.0,2777, 157.190.33.163,  209.85.202.94
276,UDP,1.0,0,  172.28.25.178,    193.1.186.2
277,UDP,1.0,33,  172.28.25.178,    193.1.186.2
278,UDP,1.0,0,  172.28.27.238,    193.1.186.2
279,UDP,1.0,43,  172.28.27.238,    193.1.186.2
280,UDP,1.0,0,   172.28.21.62,    193.1.186.2
281,UDP,1.0,34,   172.28.21.62,    193.1.186.2
282,UDP,1.0,0,    172.28.9.89,    193.1.186.2
283,UDP,1.0,35,    172.28.9.89,    193.1.186.2
284,UDP,1.0,0,  172.28.14.215,    193.1.186.2
285,UDP,1.0,41,  172.28.14.215,    193.1.186.2
286,UDP,1.0,0,  172.28.14.215,    193.1.186.2
287,UDP,1.0,40,  172.28.14.215,    193.1.186.2
288,UDP,1.0,0,   172.28.5.204,    193.1.186.2
289,UDP,1.0,39,   172.28.5.204,    193.1.186.2
290,TCP,1.0,0,    172.28.2.43,  17.142.171.10
291,TCP,1.0,1825,    172.28.2.43,  17.142.171.10
292,TCP,1.0,3919,  172.28.27.141, 165.193.93.104
293,TCP,1.0,3919,  172.28.27.141, 165.193.93.104
294,UDP,1.0,0,  92.42.107.139, 157.190.50.236
295,TCP,1.0,0,    172.28.8.91,  209.85.202.95
296,TCP,1.0,2442,    172.28.8.91,  209.85.202.95
297,UDP,1.0,0,  172.28.29.105,    193.1.186.2
